alpha,lambda,theta
10.0,1.5175811503552263,7.4147289850933245
10.0,1.5544448111600386,7.1788917688498115
10.0,1.846356385797541,8.381469947606245
10.0,1.8876390909869063,7.94254687798211
10.0,1.6574224559702524,7.733583636279094
7.673224214296247,1.1510216535808464,5.732245855263851
10.0,1.6519631066627114,7.8678221588809025
10.0,2.6106270182439646,10.0
10.0,1.822339133440481,7.933191182392713
9.527617146885772,1.1691113199318186,6.18530234514733
10.0,2.7108417721381706,10.0
10.0,4.416734334123993,10.0
10.0,1.5239368668109383,8.284399125618016
8.330901462172324,1.0987497753236806,5.829863057411145
10.0,1.5039756015089314,7.300800594801031
8.531200208815703,1.3217507780736162,6.1802984269253605
10.0,1.5914436489897172,6.958842339192231
10.0,1.4397651563017033,7.325095179175497
9.083703282171971,1.5220968574784768,6.518972239917857
10.0,1.240223198055888,7.283593283179921
8.095306795961484,1.0944787671413991,5.690732346706968
10.0,1.2651455514709034,6.626546377025049
6.768710286585001,1.204558785842719,5.246054218120885
10.0,2.025369209064144,10.0
8.725853624129043,1.342812363908632,6.233616281935471
10.0,1.6471138813142525,7.90039290980421
10.0,1.8077944262076662,8.986390537445072
9.820120982909192,1.4144936615716703,6.567540926619884
10.0,1.2317693097177178,7.081950805687881
9.023435653520396,1.1889847596054899,6.155167467341767
10.0,2.194012887516089,9.052129802537602
10.0,1.8984586583473788,8.329682733089292
10.0,2.4604411267844277,9.86756694239053
6.075937890882913,0.9479962236366116,4.8589489566213135
10.0,1.813862171733944,8.082421929572451
10.0,2.2067371668829217,8.725626247761294
10.0,1.5889778276195752,7.611630263808944
9.675510515738297,1.1465716680246962,6.2338028361393665
10.0,1.7577373128846971,8.636530606121868
10.0,1.683286744562376,7.6801357826351095
10.0,2.3524812187719264,8.623846542795249
10.0,2.0547392078736633,8.320475581405697
10.0,1.5397135956998869,6.758903294476955
10.0,4.343473230195444,10.0
10.0,1.609604964708445,8.530197955722485
10.0,1.6206820817627328,7.042090065431792
10.0,1.4235335995787262,7.311351608062926
6.603936373831461,1.1160672173367365,5.1914627787982575
9.399790724309199,1.4226719329814552,6.527118495625648
10.0,2.162028381012035,8.97200986642041
10.0,2.3530470155827583,8.438717260968533
10.0,1.6184973721464222,7.916372186279297
10.0,2.3389602854675746,10.0
10.0,2.024287468491181,8.281951491906357
7.685583502257276,1.0589196469097433,5.536385522076519
10.0,1.6271661538670918,7.864798001284585
10.0,1.5686455928637533,7.995603802120616
6.737112422682066,1.156026787030374,5.296498628385302
10.0,1.7932140674064971,8.375486181627513
10.0,3.214199916804902,10.0
10.0,1.2312868245217221,6.76579201808486
10.0,1.6371098736400826,7.490166573904063
10.0,2.145293737368008,8.564647360010031
10.0,1.9512866367350166,7.4039394955812785
10.0,1.5377224882787075,7.43639331818347
10.0,3.321856847439308,10.0
8.704515763083938,1.5613323226832818,6.496220666522485
10.0,1.5706371548039382,8.443383644362449
8.607903114958884,1.5144867383052605,6.2906431022692315
10.0,1.7924610825601301,8.608052747785809
7.457870164326206,1.622858936874718,5.905392791713924
10.0,1.5753773538397615,8.057978501942058
7.651366101274971,1.427136364993521,5.954971620102558
10.0,2.2531458651599663,8.185440726284282
10.0,1.6542916420662093,7.8990818846806405
10.0,2.0789628823533253,7.786528837033291
9.967072217753318,1.2063774528346536,6.493052679210964
10.0,1.4913979998756812,8.425172302441837
10.0,2.1622055373326154,8.785637327613253
10.0,1.493878528469459,6.932033359525044
10.0,2.5340269859888425,10.0
10.0,1.7002070425380973,7.948425924632002
10.0,2.1693814411949996,8.951064212139407
8.296195759309247,1.183233534249033,5.92256894403034
10.0,1.7321546176950113,7.858409555983516
5.998289032813194,0.9391691611534991,4.815709506844317
7.903595409281922,1.2803127699391332,5.88332154933433
10.0,1.646753882331452,7.87490630789275
10.0,4.193622328701416,10.0
10.0,2.3332477866924286,10.0
10.0,2.133205583092545,8.7406505800488
10.0,1.6895111465757184,8.216812567438476
6.504077579451368,1.3440364798291002,5.317178361168663
9.45286264956469,1.4983607569305732,6.651333206800102
10.0,1.5927011862059912,7.197928031152254
9.005475043883214,1.7130375472813704,6.69357843197306
10.0,1.9284878774563292,8.688928185583244
10.0,1.887656305860423,9.107581562510923
6.15038964106172,1.1691198648082648,5.048884230801075
10.0,2.499125496271858,10.0
10.0,2.0912155910811956,10.0
10.0,2.2513524049025713,10.0
5.944393576523049,1.0106188132530827,4.902592976598447
8.18400461380687,1.0572705108119214,5.774766850874834
10.0,1.713193524354087,8.774367701482765
10.0,1.7946435037534643,7.825496164430048
7.199716010282079,1.1189226362266653,5.468337198288488
10.0,1.5772677818355507,8.152716762702248
10.0,3.230719785191442,10.0
10.0,1.5116510313818763,6.792984738622313
10.0,1.9084294412118787,7.354678622542865
10.0,2.568760544434258,10.0
10.0,1.7079422726537827,8.303607469353373
9.675510449237311,1.3236321609897324,6.487552796537489
10.0,1.7176144593856355,7.386387427755915
10.0,2.5310232074704775,9.826120948199877
5.1213397011809825,1.0970216843800997,4.497172741215502
10.0,1.3733215444300944,6.892286282809687
10.0,1.5846398243696849,7.590689305340507
9.559839644085057,1.227235233575432,6.306256040001425
6.505371974914106,1.0357858548704353,5.162635260332835
10.0,3.27853774000652,10.0
10.0,2.1318365599736966,7.704774426831909
10.0,2.5490575991175244,10.0
10.0,1.9700591335564304,7.566652113645658
10.0,3.3852536430460787,10.0
10.0,1.0473238117726138,6.715193533973545
10.0,2.0141409857793575,7.524526492125648
10.0,2.6626129479617164,10.0
10.0,3.5132735591756776,10.0
10.0,1.8095171911779615,7.772644722457582
10.0,1.29181904375052,6.708091743169023
10.0,1.554184418220267,8.236814891322421
10.0,2.029258291371926,9.114916042569718
10.0,1.9686700191829174,8.013773863146737
10.0,2.2358272541795454,9.089867088882945
10.0,1.540196028147474,7.052392021588518
8.586447897678445,1.180560165101835,5.953886375975681
10.0,1.6056952010207108,8.669559315845792
10.0,1.3057361172744715,7.576607094806375
8.958803707009176,1.2849567440925083,6.2297568456698285
5.7034754809395745,0.8482698521286989,4.675886237387339
10.0,1.105778327820628,6.421642202334486
10.0,1.8845926565213693,7.871636977922667
