alpha,lambda,theta
10.0,1.9243003463242132,8.60997362206283
10.0,1.880253715646139,7.7830887742234065
10.0,5.407683644916871,10.0
10.0,3.2674364185419464,10.0
10.0,3.036347951230909,10.0
10.0,3.5317476255062914,10.0
10.0,1.9515117085745173,7.712571218452258
10.0,1.9760773675125514,9.456380167463962
10.0,1.8815562092866862,8.138703850559377
10.0,1.8804678395799657,7.879737601147074
10.0,4.5731595692057,10.0
10.0,2.110059235577475,8.844939205039653
10.0,6.214360740164225,10.0
10.0,2.308807721015289,10.0
10.0,2.5568381066133816,9.724002501544359
10.0,3.9080552085111284,10.0
10.0,1.523241509031074,7.6416687325004835
10.0,2.242896134850779,8.837244203806904
10.0,3.056435972004832,10.0
10.0,2.257157454244505,10.0
10.0,2.702740618212092,10.0
10.0,4.6402709475603,10.0
10.0,2.7575586583259732,10.0
10.0,3.7883656829835974,10.0
10.0,1.6428431236720924,8.56613634947535
10.0,3.587601215899999,10.0
10.0,2.2140535079870527,8.995493127796328
10.0,2.7716654967825525,10.0
10.0,7.3007399510092394,10.0
10.0,2.6307226486888085,10.0
10.0,2.239230538709835,9.975135054851457
10.0,1.281279893967678,7.010034900551508
10.0,4.410083567438861,10.0
10.0,1.3848462695211705,7.2645393162433285
10.0,2.1718688338554664,9.248952431652564
10.0,4.510416591703821,10.0
10.0,1.9563299608545146,8.37678320680992
10.0,3.524452475754311,10.0
10.0,4.519581950011281,10.0
10.0,2.967498889463038,10.0
10.0,1.9454581280172072,8.74157695573082
10.0,2.1844267178150996,9.696228720958427
10.0,3.762088535631656,10.0
10.0,4.09344660038399,10.0
10.0,4.625274815751706,10.0
10.0,1.8229055041237796,8.704728130783659
10.0,2.438398900550181,10.0
10.0,1.7269603318850395,8.517507223105156
10.0,2.400820521448364,10.0
10.0,3.3414294498136305,10.0
10.0,2.9597615298559665,10.0
10.0,1.920005351054039,8.474207367383162
10.0,4.974087727353194,10.0
10.0,2.5062148200049563,10.0
10.0,3.3485410044263517,10.0
10.0,2.0475983484844678,9.074760405346836
9.621637612042894,1.188035259739365,6.1301144563559005
10.0,2.302239255703132,9.701873904229434
10.0,2.7691974121436655,10.0
10.0,1.524957817799294,7.01741467357471
10.0,2.6751476828211818,10.0
10.0,2.1298036520013492,8.619849264738981
10.0,2.7559974798318447,10.0
10.0,9.103169325573557,10.0
10.0,2.1674761296112175,10.0
10.0,3.3836565896936777,10.0
10.0,3.0854434030583744,10.0
10.0,1.9704157389021548,9.685951884037763
10.0,1.4404020768752615,6.793097718390426
10.0,2.921653305262175,10.0
10.0,1.5704610117545938,7.285816470958466
10.0,2.186610103915592,9.967906784807022
10.0,2.423883149961417,10.0
10.0,3.202924311845551,10.0
10.0,3.5430784069231347,10.0
10.0,7.042694875607175,10.0
10.0,3.2231768374814154,10.0
10.0,7.311194728759603,10.0
9.97752929712274,1.6472581553881565,6.63981938267104
10.0,1.603991631162808,7.435177750981095
10.0,4.105268450937575,10.0
10.0,2.3572194123927046,9.183111807571764
10.0,3.292469423011143,10.0
10.0,2.719126454644813,10.0
10.0,2.0011692062562663,9.796394109498738
10.0,1.5894825977313451,7.309382011827666
10.0,1.6856687386093814,7.377115497280212
10.0,2.3780676063115864,10.0
10.0,2.790614686873405,10.0
10.0,1.3898697519006582,6.617105761727883
10.0,5.918838567702571,10.0
10.0,2.3556771353414665,9.376549075092528
10.0,2.8879155681425477,10.0
10.0,10.0,10.0
10.0,2.38521239726933,10.0
10.0,3.043658278995291,10.0
10.0,1.4210098805442597,6.881037881761239
10.0,1.3028512443561195,6.869905772725611
10.0,3.715937034866188,10.0
10.0,2.3369706221813744,9.699979250536737
10.0,1.9284273257691005,8.82953008439074
10.0,2.034786899160666,8.6244361560113
10.0,2.197687606000068,9.006406386135668
10.0,5.143904459423824,10.0
10.0,9.543323372944341,10.0
10.0,2.2665242959082854,10.0
10.0,2.0210091239317145,9.624558901255195
10.0,4.6627011549237825,10.0
10.0,3.0049195481575226,10.0
10.0,2.58936027274438,10.0
10.0,2.082523627584193,9.339038778550753
10.0,3.1944936562703456,10.0
10.0,3.335479564749147,10.0
10.0,1.7144566123317149,7.575086228447375
10.0,4.207824462680829,10.0
10.0,2.749690454634546,10.0
10.0,3.9321494540836066,10.0
10.0,2.5592469977361727,9.674850671343316
10.0,1.4149265960173056,6.619753418897159
10.0,2.473111284033452,10.0
10.0,4.1097395607312786,10.0
10.0,6.207350361049786,10.0
10.0,3.655743329835005,10.0
10.0,1.8585316712474762,7.635305320209034
10.0,5.247856276282668,10.0
10.0,1.7330721766450294,8.325287520132102
10.0,4.549479904917051,10.0
10.0,1.8146660042596665,8.487281332195751
10.0,3.737143808480702,10.0
10.0,2.319603756996635,9.30308365555314
10.0,1.9027175821508278,8.539648687955152
10.0,5.639859032858811,10.0
10.0,2.5628339113876923,10.0
10.0,4.512877507203006,10.0
10.0,2.288642222157428,9.554319040382783
10.0,3.3353742512605473,10.0
10.0,3.3644111314921252,10.0
10.0,4.445850396794608,10.0
10.0,1.9752774852910076,8.21867484626073
10.0,3.0700549451286427,10.0
10.0,1.34208467800359,6.975792743500632
10.0,2.2023250819310713,9.304977792426481
9.19717147595231,1.2822539434237812,6.153013003197986
10.0,8.299196353501884,10.0
10.0,1.79115334012465,7.774938942131292
10.0,6.1623059350343885,10.0
10.0,3.3729140314289285,10.0
10.0,3.7963182379642455,10.0
10.0,1.7279297681733625,8.4258118511568
10.0,3.3126624274160297,10.0
10.0,2.261708569100381,8.914609520412888
10.0,2.2995880560186253,9.811332798317
10.0,2.06845143793504,8.30824043165512
10.0,3.7479950781324103,10.0
10.0,2.527297615891044,9.802774814961467
10.0,3.612810977239892,10.0
10.0,2.958541361182161,10.0
10.0,5.4122345628910375,10.0
10.0,2.0662824844437084,8.107978487930485
10.0,1.97133414067038,9.28536748604512
10.0,2.2412992036375945,9.98767778405758
10.0,4.175454544372092,10.0
10.0,2.3954827449900926,10.0
10.0,3.583826853141701,10.0
10.0,2.2199905050924635,9.888070710929492
10.0,1.7066259287198642,7.433555359232172
10.0,3.124673337625405,10.0
10.0,1.4742499275524772,7.120896321547213
10.0,10.0,10.0
10.0,2.0590662011458236,8.79063438176449
10.0,3.8563087222914345,10.0
10.0,2.6801042586838326,10.0
10.0,2.1997305006095593,9.729795172985288
10.0,4.726888006566814,10.0
10.0,2.9634404638022556,10.0
10.0,5.486814082900847,10.0
10.0,2.149930414291934,8.852977156390422
10.0,2.992867753574275,10.0
10.0,1.986400783202032,8.782851338747896
10.0,1.9295731391272959,9.372703768206877
10.0,2.0146530641086247,8.608463006792615
10.0,3.749056097794736,10.0
10.0,6.211580912684313,10.0
10.0,3.259013842026949,10.0
10.0,1.719983971398425,7.753733470114442
10.0,1.5459609923012558,7.751604889849923
10.0,2.238901846056852,9.798269547675241
10.0,3.5828908675422677,10.0
10.0,3.2720294717162166,10.0
10.0,10.0,10.0
10.0,2.3763424950437004,10.0
10.0,1.5626759326960633,7.099408651374826
10.0,3.446794344205981,10.0
10.0,2.062107507883402,9.821134967032524
10.0,4.885850558865013,10.0
10.0,2.0963511134219495,8.728111853888162
10.0,1.585583197155076,7.551894622837877
10.0,4.285723197471054,10.0
10.0,3.7691753915498385,10.0
10.0,2.8262153658768496,10.0
10.0,3.147161774296222,10.0
10.0,3.63191706351414,10.0
10.0,3.379756576615778,10.0
10.0,1.6313198501958566,7.5724304680680214
10.0,6.47133498799772,10.0
10.0,2.7717008350424845,10.0
7.992037328078782,1.0913345255436022,5.620530006013118
10.0,2.0654925382903846,8.516888316735908
10.0,1.4391574861816385,6.75607540335504
10.0,1.4394648088627504,6.642711265887879
10.0,3.122961687490313,10.0
10.0,3.212475473084993,10.0
10.0,1.6781740761357333,7.453317540933418
10.0,2.3631390560922614,9.956164887631886
