n,rep,alpha,lambda,theta
30,0,3.3286761922167427,3.529923962467728,3.4760381145183876
30,1,2.2188992961774687,2.6196389918266973,2.4930212289948774
30,2,1.8689918579036193,2.3456090156662954,2.203175086450878
30,3,2.8861803180148002,2.8063796330353505,2.7070792008579123
30,4,1.6296534157998044,2.2720694105340784,2.0608671943491355
30,5,2.7194432480924537,3.1340419870750864,2.965332483227628
30,6,1.9615800080984225,2.48727379695719,2.253682345771954
30,7,2.3011977095978176,3.0086420835103374,2.804641288816736
30,8,1.8817671768789463,2.3658865373209403,2.1557427353043974
30,9,1.7980974087452446,2.5563546476116703,2.2469091074809078
30,10,3.4535949856809824,2.727248506598105,2.702658817488189
30,11,3.4834497779157756,3.4439661597656355,3.4265208195365053
30,12,3.2778717705053055,3.1677792650564385,3.0662264611868837
30,13,2.1424213522344613,2.9253038933099633,2.664852371884527
30,14,1.7151108420781214,2.84425466896577,2.475717494648326
30,15,2.2451933825775208,2.503037698709768,2.3555594552549963
30,16,3.401623357588241,2.9766661708815545,2.975783461756949
30,17,1.6296579106072844,2.422219314276802,2.1338941764242
30,18,2.168233004035643,2.5608982936015434,2.38961405534453
30,19,2.603187838767689,3.210457554251735,3.1220224412073474
30,20,5.043814800070811,4.796869056060195,5.0263818555476245
30,21,1.9532258122968347,3.1086905870367043,2.84841829817402
30,22,2.267108553392874,2.671799449569019,2.5076545249244453
30,23,4.57382659157143,3.566648175457854,3.5580083656305264
30,24,1.0125364995479547,1.984818162735417,1.6367708409246413
30,25,1.3038244034281825,2.2526512473373543,1.8994005686070667
30,26,2.024660281026302,2.582940084895091,2.3778373629841987
30,27,2.022932671590226,3.213478160283228,3.031433882114924
30,28,2.6606391256170054,3.196455287128381,3.038469635711869
30,29,2.342244665647161,2.557995498280757,2.422958290301402
30,30,2.503588566579583,2.8591815545395054,2.6654460560018682
30,31,3.022540671852038,2.786375952369379,2.6870522634227356
30,32,2.013646942392059,2.451135697403919,2.245256773713836
30,33,2.1460582092880487,2.95013977546544,2.797741808361386
30,34,3.2924899838987174,3.2930055668698217,3.256633789036885
30,35,3.170215919982323,3.0735692004780004,3.016350197545311
30,36,2.8472142035723174,3.2409512260620343,3.1089385601812545
30,37,2.88699881133827,3.1498900990196685,3.0152732792049632
30,38,1.6448662349577619,2.815338096300356,2.4898431363608586
30,39,2.5293378175674364,2.5586975590820353,2.4256660635731557
30,40,1.7344804156491471,2.707558510681321,2.513727602220701
30,41,1.690441098512077,2.1725222286267005,1.9196636540595344
30,42,2.8766488359724054,2.7730378618776865,2.687845721137176
30,43,1.9132671023297756,2.8360593536097642,2.6292235944957536
30,44,2.811449688244455,3.1720115794585553,3.1006707898474755
30,45,2.1207116201414693,2.6220076932898517,2.43936934439307
30,46,1.9880220916726783,2.843901341171883,2.506401399375711
30,47,3.4647508575230304,3.66669318974501,3.585271696730068
30,48,2.0939888898872345,2.4135143924649993,2.2410728430650892
30,49,2.979517540467132,3.1373498427980095,3.07555857903629
30,50,2.671118876138128,2.6076055333513004,2.4930291598997334
30,51,2.5246719883068347,2.4516918957066447,2.3668170063906806
30,52,3.308298961991879,3.5224572677903323,3.4503674055331546
30,53,1.936460730856673,2.678530038508341,2.434409597813926
30,54,2.956183176770343,2.7767131756169383,2.6875145174446007
30,55,2.555882821490001,2.892226112127558,2.714141837668854
30,56,5.0212199356088805,3.8993864475759024,3.9255361975286585
30,57,2.6386759449545085,3.3788755694833137,3.2422023942629643
30,58,1.982799284382624,2.586836284796885,2.3076472922404543
30,59,3.442787083041857,2.9452316328112573,2.917859921015229
30,60,3.1780737591846426,3.0312525074425984,3.0247698767322717
30,61,1.792984490732916,2.634590376404398,2.442306901752365
30,62,6.0137751847941265,4.051235003555121,4.040033964137112
30,63,1.4279934314296856,2.335612009625406,1.9926389339245563
30,64,1.710323213664649,2.434763770931129,2.2006811595537843
30,65,3.1436930113197765,3.6547750346782037,3.578737356084947
30,66,2.9075318524825486,2.9686145255794543,2.844696078879922
30,67,1.3309424093339575,2.1016712071806936,1.8442692606885318
30,68,2.241288602435992,2.8773932742378387,2.6637182965159045
30,69,1.9420521007346814,2.2551464309752225,2.1086432201061474
30,70,1.3381054444686904,2.0961397486107907,1.7890455953551825
30,71,3.2052360710375725,3.768073801433997,3.6992705694305412
30,72,3.4296932067738144,2.8253670591512887,2.758567563381107
30,73,2.232073831024544,2.7306814637117656,2.489305213233403
30,74,2.4381864402710605,2.626420908145205,2.5821435264501615
30,75,4.185996458371618,4.341000904137709,4.497134913085087
30,76,1.9816767903842372,2.6800520642330565,2.50750687303676
30,77,1.673577235243133,2.205522752449715,1.9696237425585368
30,78,1.848301174233449,2.5557558837368015,2.294713184770303
30,79,1.3699039575008345,2.2332366008010895,1.901569878509403
30,80,3.0083422787791987,3.192936772041803,3.0907903388624307
30,81,4.170221377092464,3.5744828811591485,3.6315346040418683
30,82,2.530480887708287,2.7042478540592474,2.5872799401759736
30,83,2.2109959380425632,2.7754439506115647,2.546452070899776
30,84,2.5061555834819584,3.0321345738869674,2.9318917036252956
30,85,2.2128765250641824,3.2208307034337427,3.0527272086636303
30,86,1.5495236441185831,2.4035218465657224,2.121566732576583
30,87,4.200171492051804,3.3764054838361632,3.3410745770481736
30,88,5.701750315590915,4.384175650393949,4.483973511889611
30,89,4.0943801883162,3.5932561579085904,3.584267394946504
30,90,2.719941387882416,2.9520025585515,2.841867311607101
30,91,1.879492060802702,2.629710690236891,2.4426563804524193
30,92,2.4383528156018657,2.81373924001599,2.630277434171699
30,93,2.037828278653381,2.8034705544452145,2.5464102780338536
30,94,2.445396787355943,2.665104136801964,2.5489886749769557
30,95,1.4924580760544972,2.2570776551224827,2.0856602245956717
30,96,2.0166393029866736,2.6648485199464313,2.3689017286494534
30,97,1.5742402511703837,2.447227464086964,2.1863402425842726
30,98,2.1984109469370745,2.6229428902105343,2.4182943451568137
30,99,2.5981773910587243,2.8529345977063265,2.736531824960944
30,100,2.526233993295554,2.6638497029771493,2.540718379972591
30,101,2.5271072391467277,3.139582280092595,3.0067104592509826
30,102,3.1146284261949413,3.1172094169020332,3.0583180840534756
30,103,2.9038740168026522,2.9474195127612366,2.8191282738157866
30,104,2.079551879216424,2.6025487526215234,2.3645446814112594
30,105,1.364993330737428,2.608752076416754,2.198233317099443
30,106,1.417017488325385,2.380811715032534,1.9915306289003227
30,107,1.849364329482952,2.2682074708450353,2.1016459093336812
30,108,1.8909375111114166,2.4737796877560205,2.227199582924972
30,109,2.3161653790688597,2.7503407049362854,2.6460047376895175
30,110,1.6399572248265801,2.5935628168259184,2.240498496039444
30,111,1.8313351967739446,2.3378199053009374,2.174650030510769
30,112,2.535960354273977,2.950627960186176,2.8427005269687475
30,113,1.9115476821663193,2.7169762560612347,2.4044154353351748
30,114,2.066965013058826,2.697253127562918,2.5164255343208946
30,115,2.156928845886546,4.127992058088706,4.053088003018898
30,116,2.516341237736126,4.489922200802034,4.652188913468658
30,117,2.332766918695843,2.8930404978625206,2.7006214069922763
30,118,7.083551532402674,4.565875030642622,4.61157135336658
30,119,3.505999232962793,3.522092648935398,3.4626923359222097
30,120,2.1506668021010222,2.5762548379913803,2.4481385997285035
30,121,1.4533417510967623,2.0676395681733633,1.7953803866844416
30,122,2.14395685250069,2.2799057900507314,2.1567846427402633
30,123,2.484087068627919,3.2761771173352714,3.1161146859700053
30,124,4.61591534080573,3.7103557943508663,3.7168158150820227
30,125,2.9896563166730985,3.1476206608388426,3.0352002494524912
30,126,1.6585052047267417,2.459364920850176,2.167040497733451
30,127,2.3311527389571247,2.581643841920316,2.5120984996032028
30,128,2.9065587804572073,2.769834352920045,2.739245442441786
30,129,1.7988206383054146,2.829111082398432,2.5336415549823434
30,130,5.025246725338382,3.588710625718719,3.603308764921517
30,131,1.8667161046254694,2.4064367796928945,2.1615313771102422
30,132,1.3323151340954482,1.8762706056808414,1.6195607015089273
30,133,1.389781235072822,1.9673918023867072,1.7313896061208658
30,134,3.4314134306906667,2.8654366259835884,2.8109478011649918
30,135,3.176382637144542,3.1578728301851116,3.0885792786431674
30,136,2.997607673010911,2.905925741994111,2.8307818805103704
30,137,5.714673451205387,4.960888055041592,5.065891825472213
30,138,2.038165186594982,2.897036126279599,2.916029389679881
30,139,2.8737089342128006,3.214686271756496,3.0610912785024538
30,140,1.5314646229751212,2.115184368150946,1.871944251008784
30,141,1.8746230864047826,2.6975643589547627,2.415383646677681
30,142,3.2725149119947154,3.999335168289894,3.9504522963179642
30,143,2.0347825121942993,3.1321175696580736,2.9503802094530025
30,144,1.8196342877100788,2.855273573710758,2.48590431718219
30,145,1.8502163579734086,2.4033794190437536,2.1715159801047466
30,146,2.6969739738537832,2.794262774367611,2.70542878750917
30,147,1.2777414720843672,2.037261702998483,1.798293168358332
30,148,1.9684166752607481,2.5711668029036367,2.345437614213814
30,149,3.4480637786331143,3.26146752903457,3.2084901512306345
30,150,2.063260362547631,2.367211297978454,2.2509422798570125
30,151,1.578764509254305,2.622040846962693,2.3316512586522795
30,152,3.377821279968435,3.6009177461497877,3.542851139031124
30,153,2.976824232903425,2.6796830619150698,2.590464963271186
30,154,1.4462739346898554,2.1712252678799904,1.9459718260432635
30,155,1.6739432398742584,2.2775140607753728,1.9872283877429497
30,156,2.9118969253224183,2.8168949156220755,2.733484910583049
30,157,2.37826978411363,2.488350530869418,2.385256634661988
30,158,2.2627968323020538,2.56491969387765,2.422238928821436
30,159,1.5786569418317864,2.6347429629832,2.33882805983421
30,160,2.7752166677001453,2.874458314396319,2.8527343363966713
30,161,1.5059214625216373,2.200352613551323,1.9342322350987398
30,162,3.111352706302299,2.715808201836633,2.674672894278118
30,163,3.3601263999697557,2.8930462745644134,2.834752673728272
30,164,3.464665997178137,3.087709050560236,3.063183450721352
30,165,1.6387767946189056,2.1955106971743463,1.9883514482930906
30,166,1.7957343681156857,2.3183093459917927,2.145052520527523
30,167,2.230590591411736,2.933242738122638,2.7989093428008562
30,168,1.828689306602617,2.0941228042239945,1.929621487766153
30,169,3.5600647259477087,3.060022942596982,3.0081266899244694
30,170,2.3462506892764936,2.8521298789652754,2.7027904572084505
30,171,1.5969894747840334,2.3103429905317756,2.0842920975186727
30,172,1.4024860899736762,2.6161523650850134,2.2416474296496363
30,173,1.5130587706941214,2.2098101671106516,1.9154886068331411
30,174,1.8975135395362968,2.436318774623125,2.337168790850585
