Dataset,Model,Log-likelihood,KS Statistic,p-value
REAL_HOME,MOGE,-18329.67509690952,1.0,0.0
REAL_HOME,Exponential,-149.56069649266766,0.24385810887980275,0.05283033424080441
REAL_HOME,Weibull,-146.4923832843233,0.17733217983076976,0.28623003182024864
REAL_HOME,Gamma,-148.69142549039995,0.22001629452797344,0.10312646455158003
REAL_AWAY,MOGE,-20519.67509690952,1.0,0.0
REAL_AWAY,Exponential,-152.8002394283941,0.26560871051821033,0.0269707929520695
REAL_AWAY,Weibull,-151.19055498020583,0.23112469063782315,0.07618143404583466
REAL_AWAY,Gamma,-152.5535376139154,0.26113834358050136,0.031119092563523187
SYNTHETIC_HOME_MOGE,MOGE,815.4614838667903,0.016351841339033335,0.6525115641564189
SYNTHETIC_HOME_MOGE,Exponential,-537.277256857266,0.3427617355491591,2.7309106171110142e-210
SYNTHETIC_HOME_MOGE,Weibull,753.2357462076391,0.04751311021136495,0.00023123809366695338
SYNTHETIC_HOME_MOGE,Gamma,804.022816795273,0.029227571324531354,0.06433523541632391
SYNTHETIC_AWAY_MOGE,MOGE,866.4730626892842,0.011278918509508018,0.9585469861049406
SYNTHETIC_AWAY_MOGE,Exponential,-521.1828201052422,0.339628214007367,2.3105903463589975e-206
SYNTHETIC_AWAY_MOGE,Weibull,807.7280638811541,0.03963183091693645,0.00363367815930917
SYNTHETIC_AWAY_MOGE,Gamma,855.6200172084557,0.026329330376391624,0.12273933377859658
