home_team_name,away_team_name,X1_home_first_goal,X2_away_first_goal
Los Angeles FC,América,89.0,64.0
Botafogo,Seattle Sounders,28.0,75.0
Boca Juniors,Benfica,21.0,84.0
River Plate,Urawa Reds,12.0,58.0
Monterrey,Inter Milan,25.0,42.0
Real Madrid,Al Hilal,34.0,41.0
Pachuca,Salzburg,56.0,42.0
Inter Miami,Porto,47.0,8.0
Seattle Sounders,Atlético Madrid,50.0,11.0
Flamengo,Chelsea,62.0,13.0
Bayern München,Boca Juniors,18.0,66.0
Mamelodi Sundowns,Borussia Dortmund,11.0,16.0
Inter Milan,Urawa Reds,78.0,11.0
Fluminense,Ulsan,27.0,37.0
Juventus,Wydad Casablanca,6.0,25.0
Real Madrid,Pachuca,35.0,80.0
Porto,Al Ahly,23.0,15.0
Inter Miami,Palmeiras,16.0,80.0
Auckland City,Boca Juniors,52.0,26.0
Los Angeles FC,Flamengo,84.0,86.0
Juventus,Manchester City,11.0,9.0
Wydad Casablanca,Al Ain,4.0,50.0
Benfica,Chelsea,905.0,64.0
Flamengo,Bayern München,33.0,6.0
Manchester City,Al Hilal,9.0,46.0
Borussia Dortmund,Monterrey,14.0,48.0
Fluminense,Al Hilal,40.0,51.0
Palmeiras,Chelsea,53.0,16.0
Real Madrid,Borussia Dortmund,10.0,902.0
